"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on May 10, 2014","John Smith","yes","-","Cotton Towels","They look and feel much nicer than my other towels. I even got compliments for them. Or at least the towels got compliments. No fuzz all over me on first use. I do not regret my impulse buy.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R20TE7AUXULWAT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZKS","Size: 6-Piece Set | Color: Grey"
"Reviewed in the United States on March 26, 2015","Denise Cossich","yes","-","I order A LOT of them and have not been disappointed. I have sets that are 3 years old ...","You can't beat the price on these towels.  As an owner of a B&B, I order A LOT of them and have not been disappointed.  I have sets that are 3 years old and look like the new ones.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R23YKYMPJR4M73/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B007K6SO82","Size: 6-Piece Set | Color: Cranberry"
"Reviewed in the United States on July 25, 2016","D&R","yes","-","nice towels","These towels are comfortable and soft while also effieicnt in drying!  They look true to color and have held up very well over their use.  They seem to be made well and we expect them to last much longer as well.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R3A6OTQ6AII0F3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZGC","Size: 6-Piece Set | Color: Cocoa"
"Reviewed in the United States on February 25, 2017","Amazon Customer","yes","-","Beautiful Towels","I was extremely pleased with the towel set, especially for the price. The bath towel was longer than my usual bath towels. I loved the quality of thickness...which was not so thick, that they would take longer to dry. I will definitely order more of the same.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R1UKIHIC3BG9MT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZFI","Size: 6-Piece Set | Color: Cream"
"Reviewed in the United States on February 22, 2014","Ina T.","yes","-","Great Deal for the Price","Bought these for my spare bathroom. I expected cheaper quality since the price is so low--but I am more than happy with what I received! Very good quality and good price!",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2M4ITOBJNTDG2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZEY","Size: 6-Piece Set | Color: Driftwood"
"Reviewed in the United States on January 17, 2015","pdxrose","yes","-","Four Stars","You look at the price and can't believe you're getting really luxurious, thick towels.  You are.  Many use the words, but these are the real deal.  That's why I'm reordering.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2CKD5X62P17OW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZDU","Size: 6-Piece Set | Color: White"
"Reviewed in the United States on October 23, 2014","Rebecca Hales","yes","-","Super happy with this purchase","True color.  Have washed 3 times without any fraying.  Wash them before using to get rid of excess lint.  Super happy with this purchase.  I have ordered 2 more sets of different color.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R5S6X6QO088YR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B007K6SO82","Size: 6-Piece Set | Color: Cranberry"
"Reviewed in the United States on May 27, 2014","Amazoncustomercdhd","yes","-","Nice towels","Good size, good color, great price and good texture! I wasn't sure about buying something directly from Amazon (as in the brand) but I am pretty dern happy.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R1P8RXXUKXIGWE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B007K6SO82","Size: 6-Piece Set | Color: Cranberry"
"Reviewed in the United States on December 2, 2013","Bhavya","yes","-","Not amazing","Much lower quality than I expected, and they're already starting to fall apart in the dryer. They also shed. I've only had them for two months.",3,"-","-","https://www.amazon.com/gp/customer-reviews/R1F485M48Y6ZS6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZGC","Size: 6-Piece Set | Color: Cocoa"
"Reviewed in the United States on January 10, 2018","John Moran","yes","-","Five Stars","Great will buy another",5,"-","-","https://www.amazon.com/gp/customer-reviews/R3GNO6ZLPYKOGS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZFI","Size: 6-Piece Set | Color: Cream"
"Reviewed in the United States on May 4, 2013","Rebecca Hazelbaker","yes","-","Pinzon Towels","These towels are fluffy, nice and soft. I just ordered more. Very niceI ordered for guess towels but returned to order some for myself",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2YIFT0PD6DKAC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZDU","Size: 6-Piece Set | Color: White"
"Reviewed in the United States on January 10, 2014","Steven J. Berendes","yes","-","Really Nice","These are high quality towels and a really good value. I could not believe these were so nice. I think they are as good as you can find anywhere.",5,"-","-","https://www.amazon.com/gp/customer-reviews/REMT6B2CKC1NI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZGC","Size: 6-Piece Set | Color: Cocoa"
"Reviewed in the United States on September 3, 2014","Joel Gonzales","yes","-","Product review from a Dude.","Nice, soft, but wash them first, separately from anything you don't want ""Cranberry"" colored. They have a little ""shedding"" to do and color to bleed.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2UQSEJE0XOHMJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B007K6SO82","Size: 6-Piece Set | Color: Cranberry"
"Reviewed in the United States on November 3, 2015","Jude","yes","-","Great towels","Love these towels.  I had ordered some as gifts last Christmas and I was told how much the recipient loved them.They stand up very well wash after wash.  I would definitely recommend them!",5,"-","-","https://www.amazon.com/gp/customer-reviews/R3QXHPN05M1J5M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZFI","Size: 6-Piece Set | Color: Cream"
"Reviewed in the United States on January 8, 2014","Saundra L. Kemp","yes","-","Great towels!","Lovely color and feel!  They are thick and absorbent!  Just what a towel should be!  If you need/want to upgrade your bathroom these are the ticket!",5,"-","-","https://www.amazon.com/gp/customer-reviews/R3RTM220SPMB4E/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B007K6SPWM","Size: 6-Piece Set | Color: Navy"
"Reviewed in the United States on June 23, 2013","J.A.A.","yes","-","Best towels I've ever owned.","After years of buying towels at Target only to be disappointed by every one of their brands, I decided to try these out based on the reviews. LOVE them.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R3E34NDQ5IOACL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B007K6SOTQ","Size: 6-Piece Set | Color: Plum"
"Reviewed in the United States on February 25, 2014","Jessica L. Webster","yes","-","Unravelled at pre-use wash","These were infested from the warehouse. Fell apart in the pre-use wash. I lagged returning them, so no refund. These are a burden, not super useful.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R11Q3M3DI6YDX4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B007K6SO82","Size: 6-Piece Set | Color: Cranberry"
"Reviewed in the United States on January 5, 2013","Micheline Aubry","yes","-","The most enjoyable towels ever","I would recommend these towels to everyone...  They are smooth, absorbing, not to heavy...  Just loved it...  Always keep those items for sale online...  I will probably by some for my children for their own house...",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2W6Z1ROL81DAS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZJ4","Size: 6-Piece Set | Color: Wedgewood"
"Reviewed in the United States on June 9, 2014","Heidibell","yes","-","Great towels for our vacation rental","Picked this out as the price was right and they received good reviews.  I needed to find something I could have shipped to our property management company to replace the old towels.  Guests have commented that they appreciated the soft, fluffy towels!  I will purchase again when we need more towels.",5,"-","-","https://www.amazon.com/gp/customer-reviews/RBYJUKWNIE55Q/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZDU","Size: 6-Piece Set | Color: White"
"Reviewed in the United States on February 28, 2013","Amy A.","yes","-","towels","They are nice and held up well in a wash. They could be much softer for the price. They are perfect for a gest bathroom.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R2BSZ95RKLOYAO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZGC","Size: 6-Piece Set | Color: Cocoa"
"Reviewed in the United States on August 5, 2014","anne","yes","-","ripped","1st wash,wash cloth is ripped at hem not happy now I am going to take another out and see if it is ripped these towels are cheap the thread is coming out of them every where I also ordered them in camel color and they fine not happy",5,"-","-","https://www.amazon.com/gp/customer-reviews/RV2OTRF14GDCI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B007K6SOTQ","Size: 6-Piece Set | Color: Plum"
"Reviewed in the United States on January 18, 2013","Kindle Customer","yes","-","Fluffy Pleasure","These towels are a must have by anyone who needs ultimate absorption. The 2 mini towels adds a nice touch to the set.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R3SPMVJD0B5UMQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZJ4","Size: 6-Piece Set | Color: Wedgewood"
"Reviewed in the United States on March 3, 2016","Matthew Minard","yes","-","So nice I ordered twice!","So soft and comfy!  Also great at drying my skin after a shower.  Have washed multiple times and have had no issues with the stitching.  I loves these towel so much I ordered another set!  Recommended.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R1EIKIS4RWC96D/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZKS","Size: 6-Piece Set | Color: Grey"
"Reviewed in the United States on March 30, 2013","PACKERS FAN","yes","-","Not Bad for the price!","This wasn't bad for the price I paid! The color will fade no matter what so expect that. Softens with use and proper care.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R28GO439ZEX8UT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B007K6SO82","Size: 6-Piece Set | Color: Cranberry"
"Reviewed in the United States on July 27, 2013","Bill J","yes","-","Won't absorb well","The towel set is beautiful & soft but they don't absorb well.  They leave water on your body.  Too much rubbing to finally get dry.",2,"-","-","https://www.amazon.com/gp/customer-reviews/R20XEQ5GS3XFBU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B007K6SPWM","Size: 6-Piece Set | Color: Navy"
"Reviewed in the United States on September 13, 2014","Barbara I. Marshall","yes","-","I'm glad I only paid ca","I'm glad I only paid ca. $20 for this set.  After two washes, they look washed out. Good for daily use, but I wouldn't use for the guest bath which is why I purchased them.",3,"-","-","https://www.amazon.com/gp/customer-reviews/R8QHQBPN013AD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZKS","Size: 6-Piece Set | Color: Grey"
"Reviewed in the United States on October 29, 2013","trish","yes","-","Odd color.","These towel sets were thick and thirsty. The color seemed to be more yellow tinged than cream, or a yellowish cream, if you prefer.If I saw this tone in the store, I would have passed it by. It wasn't so disappointing to send it back, though.",3,"-","-","https://www.amazon.com/gp/customer-reviews/R1NIROVV6EQGMZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZFI","Size: 6-Piece Set | Color: Cream"
"Reviewed in the United States on April 6, 2016","Keira","yes","-","Not bad for the price!","Now that I've washed these a few times I can say you definitely get a lot of bang for your buck. They aren't falling apart and do a great job of drying me off. I'll definitely be buying more when we move to a bigger place!",5,"-","-","https://www.amazon.com/gp/customer-reviews/RTTGZ2VYYLM45/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZKS","Size: 6-Piece Set | Color: Grey"
"Reviewed in the United States on January 16, 2014","Patricia Baswell","yes","-","towels","Same problem as with the yellow set, after washing them before use as recommended, they had snags. Will keep using them as they are nice towels.",3,"-","-","https://www.amazon.com/gp/customer-reviews/R18JUAF52OZIZ1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZJ4","Size: 6-Piece Set | Color: Wedgewood"
"Reviewed in the United States on November 18, 2015","Trishakers","yes","-","Very nice towels. The bath towels are even larger than ...","Very nice towels. The bath towels are even larger than I expected...larger than what typically comes in sets like these.They come out of the wash in nice shape also, no pills or wrinkles.",5,"-","-","https://www.amazon.com/gp/customer-reviews/RRXG0OSFGP61M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZKS","Size: 6-Piece Set | Color: Grey"
"Reviewed in the United States on February 6, 2016","sue","yes","-","Sheds a bit but color is nice","This is just a matter of time will tell. Color is nice, soft enough. It sheds a bit into my face when I dry with it after 3 washes. Only time will tell if the color will stay and the towels hold up.",3,"-","-","https://www.amazon.com/gp/customer-reviews/R6CZ7W48X5N4S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B007K6SPWM","Size: 6-Piece Set | Color: Navy"
