"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on June 3, 2019","Mrs Hynds","yes","-","Fluffy and absorbent! Perfect towels!","Was nervous that they would be thin and scratchy but they’re perfect! Fluffy, and large and exactly what you’d want! Washed them first and didn’t have any lint issues at all!",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2TBKPC7RUWX2H/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B00HTB2XOO","Color: White"
"Reviewed in the United States on May 9, 2021","Gma ","yes","-","Good  quality.","I’m very happy with the quality of these towels. These soft yet absorbing towels are the perfect addition to my newly remodeled bathroom.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2RVU2COMQ2GXG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B07QLGSTSK","Color: Aqua"
"Reviewed in the United States on August 15, 2020","Jane P. Snyder","yes","-","Extremely nice!!! Very rich navy blue color","Great quality and a true rich navy blue glad I bought them.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R3DIF6B7AY0DP5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B089P2JL4S","Color: Navy Blue"
"Reviewed in the United States on December 23, 2019","Leslie Nelson","yes","-","Fabric lovely, color not so much","My only disappointment was the color. I ""forgot"" that one does not get true color through internet. My oversight. Was looking for warm Moss Green, these are sort of Dusty Greyish Green. Very soft though.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R3OX1MSM952TG5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B07QNCVFQV","Color: Moss"
"Reviewed in the United States on August 31, 2021","R. E.","yes","-","The color is way off.  Wedgewood is actually baby blue.  Not my taste.","The color representation are way off.",4,"-","-","https://www.amazon.com/gp/customer-reviews/RZU4JGA2J2RMU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B07ZWH1SYM","Color: Wedgewood"
"Reviewed in the United States on April 30, 2017","mstevens","yes","-","the dobby is perhaps a bit narrow and boring, but that's really my biggest quibble","These towels were considerably nicer than I'd anticipated for the price. They're fluffy, thick, and absorbent. So, the dobby is perhaps a bit narrow and boring, but that's really my biggest quibble. Wonderful value for the price I paid. I went to order more two days after my order arrived and found the price had increased by over 63%. They're probably still a good value at that price",4,"-","-","https://www.amazon.com/gp/customer-reviews/R1SPNWR4J56UV0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B00HTB2XOO","Color: White"
"Reviewed in the United States on November 7, 2020","A. Chaverri","yes","-","I love these!","These are awesome! They are true to color, so soft & durable.  I will purchase again!",5,"-","-","https://www.amazon.com/gp/customer-reviews/RGVX5STM9KLO0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B07QNCZ3SZ","Color: Plum"
"Reviewed in the United States on August 14, 2018","Blackwell 315","yes","-","Nice towels for the price!","Very impressed with softness of these towels, and they seem to be made of good quality. Washed them three times and so far they still will leave some fuzz on you. Will probably buy more if they hold their quality.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R1R76F85S5EB1Q/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B00HTB2XOO","Color: White"
"Reviewed in the United States on February 18, 2021","Michael","yes","-","Nice feel","Thick and absorbent. I thought I would be thicker but its good.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R2X0GCJOXQAL3Z/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B07QNDBGYQ","Color: Cranberry"
"Reviewed in the United States on February 26, 2021","Leelamma A.","yes","-","Soft and absorbing","Good stuff",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2HOWQPKPESZKI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B07YW41GDJ","Color: Gray"
"Reviewed in the United States on January 12, 2021","Amazon Customer","yes","-","Perfect hotel style towels","Perfect quality hotel style towels.... That’s all you need to know!",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2KUAQHZY4YEQ8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B00HTB2XOO","Color: White"
