"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in Canada on November 14, 2020","Marie","yes","yes","Flat and starting to come apart before washing them","The color is bang on - however, they're flat, they're not poofy like they are described or shown in images. If it was for the color I'd feel completed duped for what I thought I was getting. The only towel I have used (and not even washed yet) is starting to come apart. Because I don't want to go through the process of returning them, I will keep them. But I can't imagine they're going to last longer than a couple of months.",2,"-","-","-","B07TSPQ5B8","Color: Coral Orange"
"Reviewed in Canada on July 8, 2020","Amazon Customer","yes","yes","The towel is left in the lint trap of your dryer","The towels were pretty cheap and very similar color to the towels I currently have. Unfortunately they are extremely thin and getting thinner. Each time I wash and dry them the lint trap is almost completely full of lint (most lint I have ever had per load). I have washed and dried them 5+ times and the issue doesn't seem to be getting any better. I have a open shelf above my toilet I was storing them on, but just having them sit there was leaving navy blue lint on my toilet. I would not buy again and now know to look for lint free towels next time (if there is such a thing).",2,"-","-","-","B07GHD4S4H","Color: Navy"
"Reviewed in the United States on October 24, 2019","Tatt-Back","yes","yes","Well made, absorbing.","Love the look of the towels. They do need to be washed several times to rid them of shedding lint on you after a shower, but are absorbing and fast drying. Well made.",4,"-","-","https://www.amazon.com/gp/customer-reviews/RW8UCMVL8FYHK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07TY1MNY9","Color: Purple"
"Reviewed in the United States on October 1, 2020","Amazon Customer","yes","yes","Small and See Through!","These towels were listed as ""oversized"" and look thick and fluffy in the picture.  When I received them I thought they hadn't sent me all the towels since the package was so small!  I opened it and to my pure amazement, it had everything, the 2 full bath towels, 2 hand towels, and 4 wash cloths!  Unfortunately I didn't think to take a picture of them but they were very small, not oversized at all, and they were incredibly thin!!  I held the black towel up and the light just shown right through them!!  I do have to say the return process was very easy.  We took them to the drop off location at Kohls and even though we had opened them and there was no way to put them back into the thin cellophane they came in, they were taken without question and I had a credit on my Amazon account within an hour.  We then went to Ollies and I got my daughter a much nicer set for less money.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R3VUFWQOOTLL1T/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07Y22QK1S","Color: Black"
"Reviewed in Canada on November 17, 2019","Amazon Customer","yes","yes","Not worth the $$$","Cheap China crap--These towels were $29.99---they are not worth 5 cents---thin, non absorbant--going back. Don't waste your money.",1,"-","-","-","B07GHD4S4H","Color: Navy"
"Reviewed in the United States on June 20, 2019","Angela Keneda","yes","yes","Description is appealing but not accurate.","While these are somewhat soft, I was disappointed that they are quite thin. Also, the “bath towels” are definitely not over sized in my opinion. These are just ordinary towels and wash cloths that I could have purchased for half the price locally.😕",2,"-","-","https://www.amazon.com/gp/customer-reviews/R22PO86D2J608/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07GHB1NTZ","Color: White"
"Reviewed in Canada on November 13, 2020","Ana Clark","yes","yes","Great product","I think the towels feel nice and soft, the colour is nice. The only thing is that they stink!!!!! There is an awful awful awwwwwwful scent that I cannot identify. Maybe it is the smell of machinery? Needless to say, I tossed them in the wash as soon as the package was opened. Given the price, I would still buy the towels again- the value is amazing and I would have put them in the laundry right away anyway. I wouldn't gift these though.",4,"-","-","-","B07GHD4S4H","Color: Navy"
"Reviewed in Canada on September 24, 2020","LAG","yes","yes","Would like them replaced if I sent pics","These towels fell apart about two/weeks after using them after baths . They were washed with mild detergent and cold water , on delicate cycle and tumble dried without heat .They unraveled and you could see through them  . But the color was nice",2,"-","-","-","B07TSPQ5B8","Color: Coral Orange"
"Reviewed in the United States on November 2, 2020","Sharon","yes","yes","Do not buy","Terrible. Not soft or absorbing at all. Cream is actually yellow and I do not care for yellow. Very thin. I’m embarrassed to even use these. Too much trouble to return.Amazon, you must have a standard for things like this. They are not really towels. They are rags. 😖",1,"-","-","https://www.amazon.com/gp/customer-reviews/R3TK7CNW9POQ8K/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B082QZ64FC","Color: Ivory"
"Reviewed in the United States on November 24, 2018","Lynne","yes","yes","Lints really bad at first","Decent towels but I strongly recommend washing and drying them at least 2 times before trying to use them. They linted like crazy. Had my lint trap over packed both times. And left so much lint on the floor and in the washer I had to sweep and clean the washer both times. The teal has a bit too much green in it but it's the closest to teal I have found in an affordable towel. Most of them are actually turquoise when they come in instead of teal.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R2YP5G2JJXSEXB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07GH7Y4W1","Color: Teal"
"Reviewed in the United States on July 31, 2020","Del V.","yes","yes","poor quality, thin, small not good product","i bought these as a starter set for my son going to university. i returned immediately to get a refund. they are thin, small poor quality. i will get better quality at walmart or target. was trying to avoid covid infection by buying online but these are bad.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R3UIIJ2FINM4ZG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07Y23GQNR","Color: Green"
"Reviewed in the United States on July 10, 2020","Sinn","yes","yes","Perfect for decor","While the towels will only be used for decor in my master bath they should hold after one wash. I had to cut some threads.",4,"https://images-na.ssl-images-amazon.com/images/I/71PgoJ5OpPL.jpg","-","https://www.amazon.com/gp/customer-reviews/R2T0YJRX49NUGX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B082QRCRBP","Color: Pink"
"Reviewed in the United States on July 21, 2020","Jamie","yes","yes","Very thin","These are really thin. I received 2 sets of towels, this one and then one of the amazon basic sets. There is an insane difference in quality between the two! If you’re just wanting color, this would be fine but I definitely don’t care enough to use these",1,"-","-","https://www.amazon.com/gp/customer-reviews/R3C1TKA12ZC1Q2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07TTT7SRP","Color: Mustard"
"Reviewed in the United States on January 5, 2021","Marti Moyes","yes","yes","Horrible towels","These towels are very thin and just awful quality. They aren't at all what they were advertised. I will never purchase again",1,"-","-","https://www.amazon.com/gp/customer-reviews/RB8GU5UFX3CXD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07GH7Y4W1","Color: Teal"
"Reviewed in the United States on July 30, 2020","Adam Mayfield","yes","yes","Terrible quality","These towels are pretty low quality.  Everytime I wash them they leave red fuzzy lint balls on any and everything the run through with. They're thin. And I wouldn't buy em again if you offered to pay me to take them.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R3E7T3BZJQTIDS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07TSPRQMP","Color: Burgundy"
"Reviewed in the United States on August 1, 2020","Crystal","yes","yes","Way to thin","Did not like these at all. Much too thin.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R1OAL8J0OJICAH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07GH951PH","Color: Charcoal"
"Reviewed in the United States on March 25, 2020","Aji G.","yes","yes","NOT DECORATIVE TOWELS!!","They have no gloss in their appearance and are very thin.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R3PWAQSYEY828W/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07GHD4S4H","Color: Navy"
